"weblink","record_name"
"http://www.tupc.gov.taipei/ct.asp?xItem=109319036&ctNode=6308&mp=120021","tpup672"
"http://www.tupc.gov.taipei/ct.asp?xItem=107740465&ctNode=6308&mp=120021","tpup671"
"http://www.tupc.gov.taipei/ct.asp?xItem=104615677&ctNode=6308&mp=120021","tpup670"
"http://www.tupc.gov.taipei/ct.asp?xItem=102195054&ctNode=6308&mp=120021","tpup669"
"http://www.tupc.gov.taipei/ct.asp?xItem=99867187&ctNode=6308&mp=120021","tpup668"
"http://www.tupc.gov.taipei/ct.asp?xItem=98765694&ctNode=6308&mp=120021","tpup667"
"http://www.tupc.gov.taipei/ct.asp?xItem=93249280&ctNode=6308&mp=120021","tpup666"
"http://www.tupc.gov.taipei/ct.asp?xItem=92264088&ctNode=6308&mp=120021","tpup665"
"http://www.tupc.gov.taipei/ct.asp?xItem=90907906&ctNode=6308&mp=120021","tpup664"
"http://www.tupc.gov.taipei/ct.asp?xItem=90907902&ctNode=6308&mp=120021","tpup663"
"http://www.tupc.gov.taipei/ct.asp?xItem=85607840&ctNode=6308&mp=120021","tpup662"
"http://www.tupc.gov.taipei/ct.asp?xItem=82679777&ctNode=6308&mp=120021","tpup661"
"http://www.tupc.gov.taipei/ct.asp?xItem=80425902&ctNode=6308&mp=120021","tpup660"
"http://www.tupc.gov.taipei/ct.asp?xItem=78280253&ctNode=6308&mp=120021","tpup659"
"http://www.tupc.gov.taipei/ct.asp?xItem=77115684&ctNode=6308&mp=120021","tpup658"
"http://www.tupc.gov.taipei/ct.asp?xItem=75057377&ctNode=6308&mp=120021","tpup657"
"http://www.tupc.gov.taipei/ct.asp?xItem=74619592&ctNode=6308&mp=120021","tpup656"
"http://www.tupc.gov.taipei/ct.asp?xItem=73998658&ctNode=6308&mp=120021","tpup655"
"http://www.tupc.gov.taipei/ct.asp?xItem=73998491&ctNode=6308&mp=120021","tpup654"
"http://www.tupc.gov.taipei/ct.asp?xItem=71926375&ctNode=6308&mp=120021","tpup653"
"http://www.tupc.gov.taipei/ct.asp?xItem=70769781&ctNode=6308&mp=120021","tpup652"
"http://www.tupc.gov.taipei/ct.asp?xItem=69430017&ctNode=6308&mp=120021","tpup651"
"http://www.tupc.gov.taipei/ct.asp?xItem=69061984&ctNode=6308&mp=120021","tpup650"
"http://www.tupc.gov.taipei/ct.asp?xItem=68640206&ctNode=6308&mp=120021","tpup649"
"http://www.tupc.gov.taipei/ct.asp?xItem=67421321&ctNode=6308&mp=120021","tpup648"
"http://www.tupc.gov.taipei/ct.asp?xItem=63027024&ctNode=6308&mp=120021","tpup647"
"http://www.tupc.gov.taipei/ct.asp?xItem=59967253&ctNode=6308&mp=120021","tpup646"
"http://www.tupc.gov.taipei/ct.asp?xItem=56797094&ctNode=6308&mp=120021","tpup645"
"http://www.tupc.gov.taipei/ct.asp?xItem=53217052&ctNode=6308&mp=120021","tpup644"
"http://www.tupc.gov.taipei/ct.asp?xItem=50939324&ctNode=6308&mp=120021","tpup643"
"http://www.tupc.gov.taipei/ct.asp?xItem=50939323&ctNode=6308&mp=120021","tpup642"
"http://www.tupc.gov.taipei/ct.asp?xItem=44190606&ctNode=6308&mp=120021","tpup641"
"http://www.tupc.gov.taipei/ct.asp?xItem=42317008&ctNode=6308&mp=120021","tpup640"
"http://www.tupc.gov.taipei/ct.asp?xItem=38684179&ctNode=6308&mp=120021","tpup639"
"http://www.tupc.gov.taipei/ct.asp?xItem=36186846&ctNode=6308&mp=120021","tpup638"
"http://www.tupc.gov.taipei/ct.asp?xItem=33967267&ctNode=6308&mp=120021","tpup637"
"http://www.tupc.gov.taipei/ct.asp?xItem=31839314&ctNode=6308&mp=120021","tpup636"
"http://www.tupc.gov.taipei/ct.asp?xItem=27139332&ctNode=6308&mp=120021","tpup635"
"http://www.tupc.gov.taipei/ct.asp?xItem=27139330&ctNode=6308&mp=120021","tpup634"
"http://www.tupc.gov.taipei/ct.asp?xItem=22260012&ctNode=6308&mp=120021","tpup633"
"http://www.tupc.gov.taipei/ct.asp?xItem=22005158&ctNode=6308&mp=120021","tpup632"
"http://www.tupc.gov.taipei/ct.asp?xItem=16639121&ctNode=6308&mp=120021","tpup631"
"http://www.tupc.gov.taipei/ct.asp?xItem=16639120&ctNode=6308&mp=120021","tpup630"
"http://www.tupc.gov.taipei/ct.asp?xItem=11164325&ctNode=6308&mp=120021","tpup629"
"http://www.tupc.gov.taipei/ct.asp?xItem=9743188&ctNode=6308&mp=120021","tpup628"
"http://www.tupc.gov.taipei/ct.asp?xItem=6132454&ctNode=6308&mp=120021","tpup627"
"http://www.tupc.gov.taipei/ct.asp?xItem=4120965&ctNode=6308&mp=120021","tpup626"
"http://www.tupc.gov.taipei/ct.asp?xItem=4120962&ctNode=6308&mp=120021","tpup625"
"http://www.tupc.gov.taipei/ct.asp?xItem=2045665&ctNode=6308&mp=120021","tpup624"
"http://www.tupc.gov.taipei/ct.asp?xItem=1945083&ctNode=6308&mp=120021","tpup623"
"http://www.tupc.gov.taipei/ct.asp?xItem=1856817&ctNode=6308&mp=120021","tpup622"
"http://www.tupc.gov.taipei/ct.asp?xItem=1856813&ctNode=6308&mp=120021","tpup621"
"http://www.tupc.gov.taipei/ct.asp?xItem=1762983&ctNode=6308&mp=120021","tpup620"
"http://www.tupc.gov.taipei/ct.asp?xItem=1762980&ctNode=6308&mp=120021","tpup620"
"http://www.tupc.gov.taipei/ct.asp?xItem=1762979&ctNode=6308&mp=120021","tpup619"
"http://www.tupc.gov.taipei/ct.asp?xItem=1364073&ctNode=6308&mp=120021","tpup618"
"http://www.tupc.gov.taipei/ct.asp?xItem=1364065&ctNode=6308&mp=120021","tpup617"
"http://www.tupc.gov.taipei/ct.asp?xItem=1285954&ctNode=6308&mp=120021","tpup616"
"http://www.tupc.gov.taipei/ct.asp?xItem=1326876&ctNode=6308&mp=120021","tpup615"
"http://www.tupc.gov.taipei/ct.asp?xItem=1285953&ctNode=6308&mp=120021","tpup614"
"http://www.tupc.gov.taipei/ct.asp?xItem=1229058&ctNode=6308&mp=120021","tpup613"
"http://www.tupc.gov.taipei/ct.asp?xItem=1229057&ctNode=6308&mp=120021","tpup613"
"http://www.tupc.gov.taipei/ct.asp?xItem=1229052&ctNode=6308&mp=120021","tpup612"
"http://www.tupc.gov.taipei/ct.asp?xItem=1229049&ctNode=6308&mp=120021","tpup612"
"http://www.tupc.gov.taipei/ct.asp?xItem=1209637&ctNode=6308&mp=120021","tpup611"
"http://www.tupc.gov.taipei/public/Data/052713541871.pdf","tpup610"
"http://www.tupc.gov.taipei/public/Data/042215175271.pdf","tpup609"
"http://www.tupc.gov.taipei/public/Data/04221515671.pdf","tpup608"
"http://www.tupc.gov.taipei/public/Data/033114381071.doc","tpup607"
"http://www.tupc.gov.taipei/public/Data/033114423871.doc","tpup606"
"http://www.tupc.gov.taipei/public/Data/033114473671.doc","tpup605"
"http://www.tupc.gov.taipei/public/Data/033114513171.doc","tpup605"
"http://www.tupc.gov.taipei/public/Data/033114531971.doc","tpup604"
"http://www.tupc.gov.taipei/public/Data/033114552471.doc","tpup603"
"http://www.tupc.gov.taipei/public/Data/03311457571.doc","tpup602"
"http://www.tupc.gov.taipei/public/Data/03311503371.doc","tpup601"
