"weblink","record_name","filetype"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/283114495720.doc","tpup臺北市都市計畫委員會第636次委員會議紀錄 ","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/26291027279.doc","tpup臺北市都市計畫委員會第635次委員會議紀錄 ","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/26291025656.doc","tpup臺北市都市計畫委員會第634次委員會議紀錄 ","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/242710171269.doc","tpup臺北市都市計畫委員會第633次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/24610415034.pdf","tpup臺北市都市計畫委員會第632次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/213115485869.doc","tpup臺北市都市計畫委員會第631次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/213012392631.doc","tpup臺北市都市計畫委員會第630次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/11125921402.doc","tpup臺北市都市計畫委員會第629次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/1117148750.doc","tpup臺北市都市計畫委員會第628次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/192216264899.doc","tpup臺北市都市計畫委員會第627次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/182591969.doc","tpup臺北市都市計畫委員會第626次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/18259143494.doc","tpup臺北市都市計畫委員會第625次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/16289272851.doc","tpup臺北市都市計畫委員會第624次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/152713241814.doc","tpup臺北市都市計畫委員會第623次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/142815335619.doc","tpup臺北市都市計畫委員會第622次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/142815313098.doc","tpup臺北市都市計畫委員會第621次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/1319353320.doc","tpup臺北市都市計畫委員會第620次(續會)委員會議紀錄 ","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/1319334316.doc","tpup臺北市都市計畫委員會第620次委員會議紀錄 ","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/1319322645.doc","tpup臺北市都市計畫委員會第619次委員會議紀錄 ","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/010271454590.doc","tpup臺北市都市計畫委員會第618次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/010271452128.doc","tpup臺北市都市計畫委員會第617次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/09301532778.doc","tpup臺北市都市計畫委員會第616次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/0101414345195.doc","tpup臺北市都市計畫委員會第615次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/093015279.doc","tpup臺北市都市計畫委員會第614次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/081916462193.doc","tpup臺北市都市計畫委員會第613次委員會續會會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/010221212446.doc","tpup臺北市都市計畫委員會第613次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/081916383723.doc","tpup臺北市都市計畫委員會第612次委員會續會會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/081916344575.doc","tpup臺北市都市計畫委員會第612次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/072014385062.doc","tpup臺北市都市計畫委員會第611次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/052713541871.pdf","tpup臺北市都市計畫委員會第610次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/public/Data/042215175271.pdf","tpup臺北市都市計畫委員會第609次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/public/Data/04221515671.pdf","tpup臺北市都市計畫委員會第608次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/public/Data/033114381071.doc","tpup臺北市都市計畫委員會第607次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/033114423871.doc","tpup臺北市都市計畫委員會第606次委員會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/033114473671.doc","tpup臺北市都市計畫委員會第605次委員會續會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/033114513171.doc","tpup臺北市都市計畫委員會第605次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/033114531971.doc","tpup臺北市都市計畫委員會第604次委員會會議紀錄","doc"
"http://www.tupc.gov.taipei/public/Data/033114552471.doc","tpup臺北市都市計畫委員會第603次委員會會議紀錄","doc"
