"filelink","filename","filetype"
"http://www.ud.taichung.gov.tw/public/Attachment/127010/63181031253.pdf","1050303第53次會議紀錄(1-5案)","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?fileName=631810311680.pdf","1050303第53次會議紀錄(6-7案)","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/62151035371.pdf","1050128第52次紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/61816392371.pdf","1041228第51次紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/512231522471.pdf","1041126第50次紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/5101311235771.pdf","1040924第49次紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/5991513671.pdf","1040827第48次會議紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/58241537871.pdf","1040730第47次會議紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/57109555971.pdf","1040625第46次會議紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/56251542971.pdf","1040611第45次紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/55141151471.pdf","1040430第44次紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/542911265971.pdf","1040326第43次紀錄","pdf"
"http://www.ud.taichung.gov.tw/public/Attachment/127010/531310145019.pdf","1040225第42次紀錄(第1,2案)","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?fileName=53131015336.pdf","1040225第42次紀錄(第3案)","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/4122414354871.pdf","1031217第41次會議紀錄","pdf"
"http://www.ud.taichung.gov.tw/public/Attachment/127010/4122414325869.pdf","1031126第40次紀錄第2-8案","pdf"
"http://www.ud.taichung.gov.tw/public/Attachment/127010/4122414332043.pdf","1031126第40次紀錄01-縫合-變一案3(P1-5-1~P1-9-9)","pdf"
"http://www.ud.taichung.gov.tw/public/Attachment/127010/4122414333984.pdf","1031126第40次紀錄01-縫合-變一案2(P1-3-41~P1-4-7)","pdf"
"http://www.ud.taichung.gov.tw/public/Attachment/127010/4122414343085.pdf","1031126第40次紀錄01-縫合-變一案1(P1-P1-3-40)","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/4122414311671.pdf","1031114第39次會議紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/411131054171.pdf","1031029第38次會議紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/41031446671.pdf","1030919第37次會議紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/48291073671.pdf","1030814第36次紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/47309561871.pdf","1030711第35次紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/461913563771.pdf","1030606第34次紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/46413282571.pdf","第33次都市計畫委員會紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/443011331471.pdf","1030418第32次紀錄","pdf"
"http://www.ud.taichung.gov.tw/public/Attachment/127010/44911435330.pdf","會議紀錄part.1","pdf"
"http://www.ud.taichung.gov.tw/public/Attachment/127010/44911441530.pdf","會議紀錄part.2","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/437922671.pdf","1030221第30次會議紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/4259331771.pdf","1030123第29次紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/41910565871.pdf","1021230第28次會議紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/31210111971.pdf","1021125第27次會議","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/31161725871.pdf","1020930第26次會議紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/3101110392371.pdf","1020930第25次會議","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/310291101171.pdf","1020917第24次會議","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/310291054871.pdf","第23次都市計畫委員會會議紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/3112112474271.pdf","第22次都市計畫委員會會議紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/37310182171.pdf","第21次市都委會紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/37310174171.pdf","第20次市都委會紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/3102910593671.pdf","1020426第19次市都委會紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/3102910585571.pdf","1020329第18次市都委會紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/3102910582171.pdf","1020204第17次市都委會紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/37310154671.pdf","第16次市都委會紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/37310144871.pdf","第15次市都委會紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/3102910572471.pdf","1010914第14次會議紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/37310114471.pdf","第13次市都委會紀錄","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/37310102971.pdf","第12次市都委會紀錄(全)","pdf"
"http://www.ud.taichung.gov.tw/dl.asp?filename=127010/3102910564271.pdf","1010303第11次會議紀錄","pdf"
