"filelink","filename","filetype"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20121213121619-1.pdf","第21次會議紀錄7表二--附圖","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20120906134934-1.pdf","高雄市都市計畫委員會第20次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20120813105949-1.pdf","高雄市都市計畫委員會第19次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20120718140659-1.pdf","高雄市都市計畫委員會第18次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20120704114524-1.pdf","高雄市都市計畫委員會第17次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20120601172219-1.pdf","高雄市都市計畫委員會第16次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20120503172741-1.pdf","高雄市都市計畫委員會第15次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20120416113950-1.pdf","高雄市都市計畫委員會第14次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20120112174107-1.pdf","高雄市都市計畫委員會第13次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20111208132714-1.pdf","高雄市都市計畫委員會第12次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20111114100426-1.pdf","高雄市都市計畫委員會第11次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20111014104209-1.pdf","高雄市都市計畫委員會第10次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110928164306-1.pdf","高雄市都市計畫委員會第9次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110901170710-1.pdf","高雄市都市計畫委員會第8次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110818180800-1.pdf","高雄市都市計畫委員會第7次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110729112657-1.pdf","高雄市都市計畫委員會第6次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110725124833-1.pdf","高雄市都市計畫委員會第5次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110624172855-1.pdf","高雄市都市計畫委員會第4次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110510162429-1.pdf","高雄市都市計畫委員會第3次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110308125550-1.pdf","高雄市都市計畫委員會第2次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110221105251-1.pdf","高雄市都市計畫委員會第1次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110922124241-1.pdf","高雄縣都市計畫委員會第134次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110111112632-1.pdf","第347次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110922113605-1.pdf","高雄縣都市計畫委員會第133次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110922113032-1.pdf","高雄縣都市計畫委員會第132次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110922112515-1.pdf","高雄縣都市計畫委員會第131次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20101020164530-1.pdf","第346次大會 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110922103241-1.pdf","高雄縣都市計畫委員會第130次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20100906140207-1.pdf","第345次大會 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20100817090622-1.pdf","第344次大會 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516125357-1.pdf","高雄縣都市計畫委員會第129次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20100708092112-1.pdf","第343次大會 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516125322-1.pdf","高雄縣都市計畫委員會第128次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110422090902-1.pdf","第342次大會 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516125251-1.pdf","高雄縣都市計畫委員會第127次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516125208-1.pdf","高雄縣都市計畫委員會第126次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516125104-1.pdf","高雄縣都市計畫委員會第125次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20100413161231-1.pdf","第341次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20100304111810-1.pdf","第340次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516125025-1.pdf","高雄縣都市計畫委員會第124次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20100115120126-1.pdf","第339次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516120543-1.pdf","高雄縣都市計畫委員會第123次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20091225150229-1.pdf","第338次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516120439-1.pdf","高雄縣都市計畫委員會第122次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20091127123300-1.pdf","第337次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516120333-1.pdf","高雄縣都市計畫委員會第121次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516120223-1.pdf","高雄縣都市計畫委員會第120次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20090925190718-1.pdf","第336次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516120122-1.pdf","高雄縣都市計畫委員會第119次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20090731163540-1.pdf","第335次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20090703093611-1.pdf","第334次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20090521093150-1.pdf","第333次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516120011-1.pdf","高雄縣都市計畫委員會第117次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20090518121631-1.pdf","第332次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516115940-1.pdf","高雄縣都市計畫委員會第116次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516115858-1.pdf","高雄縣都市計畫委員會第115次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20090113094047-1.pdf","第331次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516115808-1.pdf","高雄縣都市計畫委員會第114次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20081225144239-1.pdf","第330次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516115654-1.pdf","高雄縣都市計畫委員會第113次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20081103172949-1.pdf","第329次大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110516115605-1.pdf","高雄縣都市計畫委員會第112次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20080929163802-1.pdf","第328次大會","pdf"
