"weblink","record_name"
"http://www.tupc.gov.taipei/ct.asp?xItem=2045665&ctNode=6308&mp=120021","臺北市都市計畫委員會第624次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1945083&ctNode=6308&mp=120021","臺北市都市計畫委員會第623次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1856817&ctNode=6308&mp=120021","臺北市都市計畫委員會第622次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1856813&ctNode=6308&mp=120021","臺北市都市計畫委員會第621次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1762983&ctNode=6308&mp=120021","臺北市都市計畫委員會第620次(續會)委員會議紀錄 "
"http://www.tupc.gov.taipei/ct.asp?xItem=1762980&ctNode=6308&mp=120021","臺北市都市計畫委員會第620次委員會議紀錄 "
"http://www.tupc.gov.taipei/ct.asp?xItem=1762979&ctNode=6308&mp=120021","臺北市都市計畫委員會第619次委員會議紀錄 "
"http://www.tupc.gov.taipei/ct.asp?xItem=1364073&ctNode=6308&mp=120021","臺北市都市計畫委員會第618次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1364065&ctNode=6308&mp=120021","臺北市都市計畫委員會第617次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1285954&ctNode=6308&mp=120021","臺北市都市計畫委員會第616次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1326876&ctNode=6308&mp=120021","臺北市都市計畫委員會第615次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1285953&ctNode=6308&mp=120021","臺北市都市計畫委員會第614次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1229058&ctNode=6308&mp=120021","臺北市都市計畫委員會第613次委員會續會會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1229057&ctNode=6308&mp=120021","臺北市都市計畫委員會第613次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1229052&ctNode=6308&mp=120021","臺北市都市計畫委員會第612次委員會續會會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1229049&ctNode=6308&mp=120021","臺北市都市計畫委員會第612次委員會議紀錄"
"http://www.tupc.gov.taipei/ct.asp?xItem=1209637&ctNode=6308&mp=120021","臺北市都市計畫委員會第611次委員會議紀錄"
"http://www.tupc.gov.taipei/public/Data/052713541871.pdf","臺北市都市計畫委員會第610次委員會議紀錄, PDF檔案下載"
"http://www.tupc.gov.taipei/public/Data/042215175271.pdf","臺北市都市計畫委員會第609次委員會議紀錄, PDF檔案下載"
"http://www.tupc.gov.taipei/public/Data/04221515671.pdf","臺北市都市計畫委員會第608次委員會議紀錄, PDF檔案下載"
"http://www.tupc.gov.taipei/public/Data/033114381071.doc","臺北市都市計畫委員會第607次委員會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/033114423871.doc","臺北市都市計畫委員會第606次委員會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/033114473671.doc","臺北市都市計畫委員會第605次委員會續會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/033114513171.doc","臺北市都市計畫委員會第605次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/033114531971.doc","臺北市都市計畫委員會第604次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/033114552471.doc","臺北市都市計畫委員會第603次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/03311457571.doc","臺北市都市計畫委員會第602次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/03311503371.doc","臺北市都市計畫委員會第601次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/0331152171.doc","臺北市都市計畫委員會第600次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/03311542371.doc","臺北市都市計畫委員會第599次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/033115132971.doc","臺北市都市計畫委員會第598次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/03311511871.doc","臺北市都市計畫委員會第597次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/ct.asp?xItem=1134950&ctNode=6308&mp=120021","臺北市都市計畫委員會第596次委員會會議紀錄"
"http://www.tupc.gov.taipei/public/Data/033115182171.doc","臺北市都市計畫委員會第595次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/033115194871.doc","臺北市都市計畫委員會第594次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/033115241671.doc","臺北市都市計畫委員會第593次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/03311528971.doc","臺北市都市計畫委員會第592次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/033115305071.doc","臺北市都市計畫委員會第591次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/033115323971.doc","臺北市都市計畫委員會第590次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/033115395771.doc","臺北市都市計畫委員會第589次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/033115414271.doc","臺北市都市計畫委員會第588次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/03311543471.doc","臺北市都市計畫委員會第587次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/033115452271.doc","臺北市都市計畫委員會第586次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/033116105071.doc","臺北市都市計畫委員會第585次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/033116232171.doc","臺北市都市計畫委員會第584次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/04115491471.doc","臺北市都市計畫委員會第583次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/04115514171.doc","臺北市都市計畫委員會第582次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/0411554871.doc","臺北市都市計畫委員會第581次委員會會議紀錄, DOC檔案下載"
"http://www.tupc.gov.taipei/public/Data/04115551071.doc","臺北市都市計畫委員會第580次委員會會議紀錄, DOC檔案下載"
