"link","name","type"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2013120981655.pdf&mfkind_id=00038&mf_id=22283974","102.11.28新北市都市計畫委員會第39次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2013120999052.pdf&mfkind_id=00038&mf_id=22283973","102.10.31新北市都市計畫委員會第38次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2013120963189.pdf&mfkind_id=00038&mf_id=22283972","102.10.03新北市都市計畫委員會第37次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2013091099733.pdf&mfkind_id=00038&mf_id=22283822","102.08.29新北市都市計畫委員會第36次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2013080186191.pdf&mfkind_id=00038&mf_id=22283775","102.07.22新北市都市計畫委員會第35次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2013070857165.pdf&mfkind_id=00038&mf_id=22283725","102.06.27新北市都市計畫委員會第34次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2013061437569.zip&mfkind_id=00038&mf_id=22283711","102.05.23新北市都市計畫委員會第33次會議紀錄","ZIP"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2013060522664.pdf&mfkind_id=00038&mf_id=22283706","102.05.09新北市都市計畫委員會第32次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2013050898251.pdf&mfkind_id=00038&mf_id=22283660","102.04.26 新北市都市計畫委員會第31次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2013032873756.pdf&mfkind_id=00038&mf_id=22283597","102.03.07 新北市都市計畫委員會第30次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2013021905362.pdf&mfkind_id=00038&mf_id=22283540","102.01.24 新北市都市計畫委員會第29次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2013010906651.pdf&mfkind_id=00038&mf_id=22283481","101.12.28 新北市都市計畫委員會第28次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2012122209472.pdf&mfkind_id=00038&mf_id=22283420","101.12.06 新北市都市計畫委員會第27次會議紀錄","PDF"
"http://www.planning.ntpc.gov.tw/web/adowndoc?file=/ap/fdownload/downfile/2012112231396.pdf&mfkind_id=00038&mf_id=22283374","101.11.08 新北市都市計畫委員會第26次會議紀錄","PDF"
