"weblink","record_name","filetype"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/551411125026.pdf","臺北市都市計畫委員會第670次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/542214134064.pdf","臺北市都市計畫委員會第669次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/53201523331.pdf","臺北市都市計畫委員會第668次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/532013381162.pdf","臺北市都市計畫委員會第667次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/4122310214856.pdf","臺北市都市計畫委員會第666次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/532013384690.pdf","臺北市都市計畫委員會第665次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/4111717351871.pdf","臺北市都市計畫委員會第664次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/4111717335165.pdf","臺北市都市計畫委員會第663次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/492610534371.pdf","臺北市都市計畫委員會第662次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/482817471865.pdf","臺北市都市計畫委員會第661次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/4869491492.pdf","臺北市都市計畫委員會第660次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/46261438589.pdf","臺北市都市計畫委員會第659次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/46315181685.pdf","臺北市都市計畫委員會第658次委員會議紀錄","pdf"
