"url.1...","item","filetype"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_88.pdf","第14次會議記錄(04月26日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_89.pdf","第13次會議記錄(03月26日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_87.pdf","第12次會議記錄(02月23日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_85.pdf","第11次會議記錄(01月16日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_84.pdf","第10次會議記錄(12月20日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_83.pdf","第9次會議記錄(11月22日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_82.pdf","第8次會議記錄(10月31日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_81.pdf","第7次會議記錄(09月26日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_80.pdf","第6次會議記錄(08月12日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_78.pdf","第5次會議記錄(07月13日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_13.pdf","第4次會議記錄(06月03日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_12.pdf","第3次會議記錄(05月11日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_16.pdf","第2次會議記錄(04月15日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_15.pdf","第1次會議記錄(03月23日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_17.pdf","第290次會議記錄(11月30日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_18.pdf","第289次會議記錄(10月28日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_19.pdf","第288次會議記錄(08月26日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_20.pdf","第287次會議記錄(07月12日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_21.pdf","第286次會議記錄(05月27日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_22.pdf","第285次會議記錄(04月08日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_23.pdf","第284次會議記錄(03月09日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_24.pdf","第283次會議記錄(01月28日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_25.pdf","第282次會議記錄(12月31日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_26.pdf","第281次會議記錄(11月16日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_27.pdf","第280次會議記錄(09月28日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_28.pdf","第279次會議記錄(08月27日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_29.pdf","第278次會議記錄(07月30日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_30.pdf","第277次會議記錄(05月21日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_31.pdf","第276次會議記錄(04月10日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_32.pdf","第275次會議記錄(03月06日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_33.pdf","第274次會議記錄(01月15日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_34.pdf","第273次會議記錄(12月04日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_35.pdf","第272次會議記錄(10月17日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_36.pdf","第271次會議記錄(09月18日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_37.pdf","第270次會議記錄(07月31日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_38.pdf","第269次會議記錄(07月03日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_39.pdf","第268次會議記錄(06月12日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_40.pdf","第267次會議記錄(05月22日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_41.pdf","第266次會議記錄(04月17日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_42.pdf","第265次會議記錄(03月07日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_43.pdf","第264次會議記錄(01月31日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_44.pdf","第263次會議記錄(12月14日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_45.pdf","第262次會議記錄(09月14日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_46.pdf","第261次會議記錄(08月06日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_47.pdf","第260次會議記錄(06月27日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_48.pdf","第259次會議記錄(05月30日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_49.pdf","第258次會議記錄(03月14日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_50.pdf","第257次會議記錄(12月19日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_51.pdf","第256次會議記錄(11月21日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_52.pdf","第255次會議記錄(09月12日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_53.pdf","第254次會議記錄(07月18日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_54.pdf","第253次會議記錄(06月13日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_55.pdf","第252次會議記錄(05月09日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_56.pdf","第251次會議記錄(03月28日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_57.pdf","第250次會議記錄(03月21日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_58.pdf","第249次會議記錄(02月22日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_59.pdf","第248次會議記錄(01月24日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_60.pdf","第247次會議記錄(12月26日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_61.pdf","第246次會議記錄(11月11日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_62.pdf","第245次會議記錄(10月14日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_63.pdf","第244次會議記錄(09月23日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_64.pdf","第243次會議記錄(09月02日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_65.pdf","第242次會議記錄(06月15日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_66.pdf","第241次會議記錄(05月18日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_67.pdf","第240次會議記錄(04月15日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_68.pdf","第239次會議記錄(02月01日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_69.pdf","第238次會議記錄(12月30日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_70.pdf","第237次會議記錄(11月26日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_71.pdf","第236次會議記錄(11月04日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_72.pdf","第235次會議記錄(10月21日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_73.pdf","第234次會議記錄(09月15日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_74.pdf","第233次會議記錄(08月23日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_75.pdf","第231次會議記錄(07月02日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_77.pdf","第230次會議記錄(03月16日)","pdf"
"http://bud.tainan.gov.tw/urbanplan/file/conrecord/conrecord_76.pdf","第232次會議記錄(03月16日)","pdf"
